"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"12 de Diciembre","12D",-17.82139,-63.13016,"SCZ191"
"16 De Febrero","16F",-16.50298,-68.22337,"EAL172"
"16 De Julio","JUL",-16.48732,-68.19319,"EAL028"
"1ero de Mayo Chapare","1MC",-16.64811,-65.43124,""
"1ro Mayo","MYO",-17.95884,-67.09594,"ORU350"
"2 de Agosto","AGO",-17.73358,-63.14229,"SCZ107"
"23 de Diciembre","D23",-17.77524,-63.11642,"SCZ314"
"23 de Noviembre","NOV",-17.72817,-63.15605,"SCZ166"
"25 de Diciembre","DIC",-17.81544,-63.13856,"SCZ187"
"25 de Julio","25J",-16.50622,-68.21484,"EAL119"
"25 de Mayo","POT2",-19.58964,-65.75132,""
"26 de Enero","ENE",-17.82078,-63.21441,"SCZ140"
"26 de Mayo","26M",-17.87669,-63.16172,"SCZ947"
"3 cruces","CRU",-17.61873,-62.22605,""
"3er anillo Mutualista","3ANI",-17.76361,-63.16292,"SCZ060"
"4 Canada","CAN",-17.25915,-62.55608,""
"4 Cañadas 2","CAN2",-17.2763,-62.5592,""
"5ta Region Militar","5RM",-11.01745,-68.78413,""
"6 de marzo","MAR",-16.51153,-68.16506,"LPZ066"
"6 de Octubre","6OC",-17.96089,-67.11009,"ORU102"
"8Va Div De Ejercito","8VA",-17.77447,-63.16902,"SCZ076"
"9 Abril","ABR",-16.51458,-68.1525,"LPZ058"
"AASANA CBBA","ASN",-17.41345,-66.1772,""
"AASANA Potosi","AAP",-19.54634,-65.72549,""
"Abapo","ABP",-18.90255,-63.4012,""
"Abasto","ABA",-17.79461,-63.20752,"SCZ038"
"Abel Iturralde","AIT",-17.9404,-67.115,"ORU073"
"Acasio","ACSI",-18.02406,-66.05741,""
"Achacachi","ACI",-16.04175,-68.68331,""
"Achachicala","ALL",-16.44832,-68.14526,"LPZ229"
"Achiquiri","ACQ",-15.20009,-68.22999,""
"Achiras","ACHR",-18.15489,-63.82584,""
"Achocalla","ACL",-16.58358,-68.16461,""
"Achumani","ACH",-16.53031,-68.07664,"LPZ006"
"Acosta","ACO",-16.50507,-68.13703,"LPZ550"
"Aeropuerto","AERO",-17.40192,-66.17786,"CBB609"
"Aeropuerto","SCR4",-19.0157,-65.28664,""
"Aeropuerto Cobija","AEC",-11.03467,-68.77089,""
"Aeropuerto II","AEP2",-19.15699,-65.18303,""
"Aeropuerto Oruro","AEO",-17.9675,-67.08183,""
"Aguahi","AGH",-16.8963,-63.3115,""
"Aguas Calientes","AGC",-18.45038,-59.50443,""
"Aiquile","AIQ",-18.207,-65.1805,""
"Aiquile 2","AQ2",-18.19164,-65.17811,""
"Alalay","ALY",-17.70974,-65.69178,""
"Alalay Norte","ALN",-17.42206,-66.14914,""
"Alalay Sud","ASD",-17.43669,-66.12258,"CBB166"
"Albo","ALB",-17.77587,-63.13505,"SCZ110"
"Alcoreza","ALC",-16.50588,-68.14794,"LPZ554"
"Aldea SOS","ALS",-17.35496,-66.19851,"CBB518"
"Alemana","ALE",-17.76877,-63.17104,"SCZ001"
"Alto Achumani","AAC",-16.51531,-68.06253,"LPZ002"
"Alto Beni","ALTB",-15.54653,-67.45124,""
"ALTO CALACOTO","ATO",-16.54687,-68.05157,"LPZ451"
"Alto Delicias","ADL",-19.02403,-65.25934,"SRE037"
"Alto Inicua","ALI",-15.52203,-67.22002,""
"Alto Irpavi","AIRP_",-16.52457,-68.0774,"LPZ048"
"Alto La Merced","AMD",-16.46695,-68.11998,"LPZ342"
"Alto Lima","ALT",-16.48268,-68.17865,"EAL13"
"Alto Mariscal Santa Cruz","MSC_",-16.49323,-68.16302,"LPA519"
"Alto Mirador","AMR",-17.36324,-66.13743,""
"Alto Miraflores","AMI",-16.48135,-68.12718,"LPZ356"
"Alto Obrajes","AOB",-16.51897,-68.10247,""
"Alto Pacasa","ALTP",-16.48623,-68.11333,"LPZ352"
"Alto Pampahasi","APA",-16.48996,-68.10652,"LPZ371"
"Alto Potosi","ALPO",-19.58209,-65.73517,""
"Alto Pura Pura","APP",-16.45874,-68.16029,""
"Alto San Pedro","ASP",-17.80921,-63.18928,"SCZ149"
"Alto Seguencoma","ASE",-16.5396,-68.09846,"LPZ042"
"Alto Villa Victoria","AVV",-16.47773,-68.16839,"EAL23"
"Ambrosio Villarroel","AMV",-17.78887,-63.22549,""
"Ancoraimes","ANC",-15.89936,-68.90628,""
"Andamarca","ADM",-18.77879,-67.50833,""
"Anexo Mercurio","AMC",-16.46434,-68.18362,"EAL046"
"Angostura","ANG",-17.52994,-66.08011,""
"Angostura SCZ","LAN",-18.15621,-63.49789,""
"Angostura TX","AGT",-18.12449,-63.4711,""
"Anillo","ANI",-17.73997,-63.17085,"SCZ051"
"Antequera","ATQ",-18.47112,-66.82584,""
"Antigua Tranca","ANT",-17.40509,-66.01179,""
"Antofagasta","AFG",-17.82561,-63.20983,"SCZ800"
"Antofagasta Quillacollo","AQU",-17.37222,-66.27664,""
"Antofagasta Rural","AFGR",-17.14563,-63.77176,""
"Antonio Vaca Diez","AVD",-14.83368,-64.90763,""
"Anzaldo","ANZ",-17.7786,-65.9357,""
"Apolo","APO",-14.72128,-68.42191,""
"Apote","APT",-17.3333,-66.23581,""
"ARAMPAMPA","ARP",-17.87885,-66.08097,""
"Arani","ARN",-17.56983,-65.77233,""
"Aranjuez","ARA",-16.55937,-68.08499,""
"Arbieto","ARB",-17.5801,-66.0141,""
"Arenal","ARE",-17.77817,-63.18421,"SCZ1019"
"Aroma","ARM",-17.39914,-66.1555,""
"Arque","ARQ",-17.81202,-66.38748,""
"Arroyito 2","AR2",-17.827,-63.08576,"SCZ256"
"Arumpaya","ARU",-16.49794,-68.14253,"LPZ524"
"Ascension de Guarayos","AGU",-15.8983,-63.1864,""
"Atocha","ATC",-20.94601,-66.22128,""
"Aucapata","AUC",-15.47942,-68.71892,""
"Australia","ATR",-12.79144,-66.51394,""
"Automovil Club","ACB",-17.39286,-66.17456,"CBB299"
"Autopista","AUT",-16.48405,-68.15817,"LPZ200"
"Av Aerea","AVA",-17.41163,-66.16413,"CBB031"
"Av America","AME",-17.37217,-66.16642,"CBB311"
"Av America La Paz","AAL",-16.52061,-68.18093,"EAL200"
"Av Bolivia","ABO",-17.84513,-63.17046,"SCZ911"
"Av Buenos Aires","BAI",-16.51608,-68.14291,"LPZ096"
"Av Cesar Cronembold","ACC",-17.76341,-63.18416,"SCZ010"
"Av Circunvalacion","CVL",-17.33782,-63.25215,"MON009"
"Av Copacabana","AVC",-17.4262,-66.16284,"CBB039"
"Av Defensores","ADF",-16.53784,-68.04916,"LPZ123"
"Av Eleodoro Villazon","AEV",-17.38931,-66.07011,"CBB256"
"Av General Campero","CPR",-17.79429,-63.13922,"SCZ119"
"Av Hernando Siles","AHS",-19.04366,-65.26015,"SRE140"
